"","Country","ReGroup","SubScenario","Amount","Share"
"254","Other LICs","Bottom 50%","Implicit_cons",179.990835127443,0.316166234269594
"255","Other LICs","Bottom 50%","Implicit_prod",182.401609120144,0.21806708175687
"256","Other LICs","Bottom 50%","Null",NA,NA
"257","Other LICs","Next 40%","Explicit",113.205130178224,0.346097788302678
"258","Other LICs","Next 40%","Implicit_cons",280.911111370863,0.49343961420995
"259","Other LICs","Next 40%","Implicit_prod",362.566182443964,0.433459714147623
"260","Other LICs","Next 40%","Null",NA,NA
"261","Other LICs","Top 10%","Explicit",166.021761485283,0.5075720894425
"262","Other LICs","Top 10%","Implicit_cons",108.389823520265,0.190394151520456
"263","Other LICs","Top 10%","Implicit_prod",291.479450498358,0.348473204095507
"264","Other LICs","Top 10%","Null",NA,NA
"265","Other LMICs","Bottom 50%","Explicit",15051.4309553926,0.305251906863778
"266","Other LMICs","Bottom 50%","Implicit_cons",10497.4859211331,0.403356062257611
"267","Other LMICs","Bottom 50%","Implicit_prod",17851.2575743941,0.302963309470444
"268","Other LMICs","Bottom 50%","Null",NA,NA
"269","Other LMICs","Next 40%","Explicit",21683.1702449773,0.439747495354245
"270","Other LMICs","Next 40%","Implicit_cons",11182.0852222049,0.429661149054509
"271","Other LMICs","Next 40%","Implicit_prod",26082.9821266076,0.442668341600224
"272","Other LMICs","Next 40%","Null",NA,NA
"273","Other LMICs","Top 10%","Explicit",12573.6278948524,0.255000597781977
"274","Other LMICs","Top 10%","Implicit_cons",4345.78685519558,0.16698278868788
"275","Other LMICs","Top 10%","Implicit_prod",14987.9367354675,0.254368348929332
"276","Other LMICs","Top 10%","Null",NA,NA
"277","Other UMICs","Bottom 50%","Explicit",6062.45521157217,0.37923039726701
"278","Other UMICs","Bottom 50%","Implicit_cons",7864.53151005583,0.495436869015409
"279","Other UMICs","Bottom 50%","Implicit_prod",10380.4447602133,0.360493039479025
"280","Other UMICs","Bottom 50%","Null",NA,NA
"281","Other UMICs","Next 40%","Explicit",6856.37032326848,0.428892907371855
"282","Other UMICs","Next 40%","Implicit_cons",6013.5465767148,0.378831553263719
"283","Other UMICs","Next 40%","Implicit_prod",12269.0860348587,0.426081947209842
"284","Other UMICs","Next 40%","Null",NA,NA
"285","Other UMICs","Top 10%","Explicit",3067.38035810019,0.191876695361135
"286","Other UMICs","Top 10%","Implicit_cons",1995.85460153567,0.125731577720872
"287","Other UMICs","Top 10%","Implicit_prod",6145.60149157305,0.213425013311132
"288","Other UMICs","Top 10%","Null",NA,NA
