"","Country","SPScenario","npl_chg","npl_chgrate","Gini_chg","CO2_chg","CO2_chgrate","Ineq_chg","Ineq_chgrate"
"76","United Kingdom","SP_current",-507921.95067957,-2.82592491190444,0.00773415758719001,-21.9357999654158,-3.76615273514258,-0.0799632645849799,-1.55290169705683
"77","United States","Cash",-82959.791121088,-0.207451227582414,0.00446528282099312,-5.90557840202109,-0.106944699454407,-0.60827291093776,-2.10074337560631
"78","United States","Null",20018.4717810005,0.0500586668453754,-0.00123966175973472,-6.64887071010526,-0.12040505288357,-0.00454639775526644,-0.0157015293555044
"79","United States","SP_covid",-66652.8899820596,-0.166673802595666,-0.00132260510749604,-5.91085189123351,-0.10704019758863,-0.0397656594959805,-0.137335469426067
"80","United States","SP_current",-82254.5079094917,-0.20568757960233,0.00444638863563485,-5.90585723639106,-0.106949748893406,-0.621527255892694,-2.14651884392225
"81","Other HICs","Cash",-3710488.50388384,-10.3078779969671,-0.00374372862719582,-34.3177180562652,-1.11454774272156,-0.957531797161074,-8.26248325858292
"82","Other HICs","Null",1503003.43325041,4.17540062521451,0.00129531439749103,-69.2946855175819,-2.25050614378252,0.0225946208746123,0.194967600307385
"83","Other HICs","SP_covid",-4413943.35076054,-12.2621022804786,-0.0046783336410529,-33.6823580256665,-1.09391294740218,-0.708859825394435,-6.11670803765307
"84","Other HICs","SP_current",-4056954.36136821,-11.2703733086559,0.0018243928240607,-33.6705189824657,-1.0935284469277,-0.706887627059561,-6.09969005895741
"85","Other LICs","Cash",-6091051.73433756,-2.73719366966801,-0.0020273006540333,-1.94901678684662,-1.35202823638009,-0.205819848959572,-1.58610212329046
"86","Other LICs","Null",1870819.30115837,0.840707807381697,-0.00275250676078165,-4.32555493317534,-3.0006270069784,-0.10366552434612,-0.798873913806514
"87","Other LICs","SP_covid",-13749513.8981349,-6.17874942529614,-0.00667672513769494,-1.9447388429593,-1.34906063704059,-0.779595356721733,-6.00776774861304
"88","Other LICs","SP_current",-11117357.3530572,-4.99591228205759,-0.0049043913144715,-1.94469502222278,-1.34903023870154,-0.515561501603316,-3.97305311666252
"89","Other LMICs","Cash",-21250630.4979593,-6.30784415761097,-0.0046864366308738,-31.522786959627,-1.30263611680661,-0.69927402980594,-5.57203014865197
"90","Other LMICs","Null",18529822.2731836,5.50022415469956,-0.000714615723924323,-192.096966007258,-7.93814475130367,0.0380807871029977,0.303439402548935
"91","Other LMICs","SP_covid",-52958996.3650432,-15.719867504461,-0.0160335567189542,-32.9244858461833,-1.36055940883198,-1.4033814682321,-11.1825743810604
"92","Other LMICs","SP_current",-39124713.9031838,-11.6134247422023,-0.0101596971402713,-32.2953344165668,-1.33456058530763,-1.09859707986743,-8.75395880487812
"93","Other UMICs","Cash",-10950399.6174414,-11.047497802245,-0.013318026696681,-16.2742328316823,-1.01362220077252,-2.24512933635427,-12.9646152112461
"94","Other UMICs","Null",4595557.31920152,4.63630654201019,0.00115705731847362,-100.067632829624,-6.23259942658534,0.393590741340191,2.27281004686827
"95","Other UMICs","SP_covid",-12441307.8802169,-12.5516260835661,-0.0197036169257103,-18.219265794466,-1.13476638082098,-3.02807035781275,-17.4857485428305
"96","Other UMICs","SP_current",-13380231.8987423,-13.4988756263693,-0.0164537524031313,-16.9959771592031,-1.05857523058493,-2.6499573895294,-15.3023156951996
