"","Group","Reg","SPScenario","value"
"351","D6","India","SP_covid",100
"352","D6","Ireland","SP_covid",100
"353","D6","Italy","SP_covid",100
"354","D6","Japan","SP_covid",100
"355","D6","Luxembourg","SP_covid",100
"356","D6","Mexico","SP_covid",30.0688837228844
"357","D6","Russian Federation","SP_covid",100
"358","D6","Turkiye","SP_covid",19.6495309001441
"359","D6","United States","SP_covid",100
"360","D6","South Africa","SP_covid",100
"361","D7","Belgium","Cash",4.10043819641367
"362","D7","Brazil","Cash",4.80012561114124
"363","D7","China","Cash",7.52176451695627
"364","D7","Germany","Cash",4.10334496874901
"365","D7","Denmark","Cash",9.6408630646243
"366","D7","Spain","Cash",13.5277434393092
"367","D7","Finland","Cash",7.18725805725405
"368","D7","France","Cash",45.3039473485972
"369","D7","United Kingdom","Cash",20.2580321736977
"370","D7","Indonesia","Cash",9.32305987247834
"371","D7","India","Cash",20.7470914109171
"372","D7","Ireland","Cash",22.0157088657948
"373","D7","Italy","Cash",17.9683797407286
"374","D7","Japan","Cash",17.9835592666758
"375","D7","Luxembourg","Cash",21.1104461383023
"376","D7","Mexico","Cash",15.1122908606541
"377","D7","Russian Federation","Cash",50.8420934442134
"378","D7","Turkiye","Cash",1.9655704592123
"379","D7","United States","Cash",64.9287332932688
"380","D7","South Africa","Cash",41.3505432434503
"381","D7","Belgium","SP_current",69.0791870686888
"382","D7","Brazil","SP_current",5.13821969690442
"383","D7","China","SP_current",35.3408218750108
"384","D7","Germany","SP_current",54.4443519921481
"385","D7","Denmark","SP_current",99.0635363735512
"386","D7","Spain","SP_current",38.5827717493794
"387","D7","Finland","SP_current",65.7697414386295
"388","D7","France","SP_current",55.3084476705033
"389","D7","United Kingdom","SP_current",63.9475650326278
"390","D7","Indonesia","SP_current",22.789899264205
"391","D7","India","SP_current",80.966404979439
"392","D7","Ireland","SP_current",87.9410087054648
"393","D7","Italy","SP_current",80.6768906074758
"394","D7","Japan","SP_current",31.0013598300264
"395","D7","Luxembourg","SP_current",63.1105540918227
"396","D7","Mexico","SP_current",17.8044342250423
"397","D7","Russian Federation","SP_current",60.0036636269238
"398","D7","Turkiye","SP_current",6.06652940773489
"399","D7","United States","SP_current",65.612250205157
"400","D7","South Africa","SP_current",73.848511244795
"401","D7","Belgium","SP_covid",100
"402","D7","Brazil","SP_covid",6.98797877074602
"403","D7","China","SP_covid",89.2583782763445
"404","D7","Germany","SP_covid",100
"405","D7","Denmark","SP_covid",100
"406","D7","Spain","SP_covid",100
"407","D7","Finland","SP_covid",100
"408","D7","France","SP_covid",100
"409","D7","United Kingdom","SP_covid",100
"410","D7","Indonesia","SP_covid",79.9471156697461
"411","D7","India","SP_covid",100
"412","D7","Ireland","SP_covid",100
"413","D7","Italy","SP_covid",100
"414","D7","Japan","SP_covid",98.1523184421407
"415","D7","Luxembourg","SP_covid",100
"416","D7","Mexico","SP_covid",24.2140315214164
"417","D7","Russian Federation","SP_covid",100
"418","D7","Turkiye","SP_covid",15.7729770068643
"419","D7","United States","SP_covid",100
"420","D7","South Africa","SP_covid",99.9999028198527
"421","D8","Belgium","Cash",1.66732327879492
"422","D8","Brazil","Cash",2.30531592019561
"423","D8","China","Cash",5.54694476030383
"424","D8","Germany","Cash",2.94743779175525
"425","D8","Denmark","Cash",7.61582119330249
"426","D8","Spain","Cash",10.580277612456
"427","D8","Finland","Cash",7.51217031147371
"428","D8","France","Cash",39.233893311528
"429","D8","United Kingdom","Cash",14.0726482095068
"430","D8","Indonesia","Cash",6.36543017231729
"431","D8","India","Cash",16.7477257812348
"432","D8","Ireland","Cash",14.3690674499668
"433","D8","Italy","Cash",14.8904401673489
"434","D8","Japan","Cash",14.8933906918882
"435","D8","Luxembourg","Cash",19.5337902363725
"436","D8","Mexico","Cash",11.0617971990719
"437","D8","Russian Federation","Cash",45.6875053928617
"438","D8","Turkiye","Cash",1.53092255870672
"439","D8","United States","Cash",59.5462259200815
"440","D8","South Africa","Cash",30.7494480086995
"441","D8","Belgium","SP_current",65.919021222767
"442","D8","Brazil","SP_current",2.53767528493857
"443","D8","China","SP_current",31.86936762833
"444","D8","Germany","SP_current",52.8335017285712
"445","D8","Denmark","SP_current",94.8906077152321
"446","D8","Spain","SP_current",31.6606349307866
"447","D8","Finland","SP_current",62.3920262636347
"448","D8","France","SP_current",50.8211402957095
"449","D8","United Kingdom","SP_current",54.6645368553521
"450","D8","Indonesia","SP_current",17.2417586970988
"451","D8","India","SP_current",76.0619365306141
"452","D8","Ireland","SP_current",85.7912435315072
"453","D8","Italy","SP_current",76.9012890579812
"454","D8","Japan","SP_current",24.2572221538321
"455","D8","Luxembourg","SP_current",58.0285580839228
"456","D8","Mexico","SP_current",13.6097927792956
"457","D8","Russian Federation","SP_current",55.0521235622837
"458","D8","Turkiye","SP_current",4.51710259631107
"459","D8","United States","SP_current",60.7171398012521
"460","D8","South Africa","SP_current",63.6604843688969
"461","D8","Belgium","SP_covid",100
"462","D8","Brazil","SP_covid",3.451238280984
"463","D8","China","SP_covid",82.8398933387495
"464","D8","Germany","SP_covid",100
"465","D8","Denmark","SP_covid",100
"466","D8","Spain","SP_covid",100
"467","D8","Finland","SP_covid",100
"468","D8","France","SP_covid",100
"469","D8","United Kingdom","SP_covid",100
"470","D8","Indonesia","SP_covid",62.0516132856104
"471","D8","India","SP_covid",100
"472","D8","Ireland","SP_covid",100
"473","D8","Italy","SP_covid",100
"474","D8","Japan","SP_covid",84.8858491685447
"475","D8","Luxembourg","SP_covid",100
"476","D8","Mexico","SP_covid",18.5093186921385
"477","D8","Russian Federation","SP_covid",100
"478","D8","Turkiye","SP_covid",11.7444669506437
"479","D8","United States","SP_covid",100
"480","D8","South Africa","SP_covid",99.3079917949697
"481","D9","Belgium","Cash",1.52158609153506
"482","D9","Brazil","Cash",1.21436302462574
"483","D9","China","Cash",4.37212592365509
"484","D9","Germany","Cash",2.05689952987083
"485","D9","Denmark","Cash",5.37073727624218
"486","D9","Spain","Cash",8.31019347184103
"487","D9","Finland","Cash",4.49626481603331
"488","D9","France","Cash",30.2870280694586
"489","D9","United Kingdom","Cash",12.5918806141776
"490","D9","Indonesia","Cash",3.568641756058
"491","D9","India","Cash",12.5218012190592
"492","D9","Ireland","Cash",9.5832115780944
"493","D9","Italy","Cash",12.2881092596306
"494","D9","Japan","Cash",12.3088678989821
"495","D9","Luxembourg","Cash",17.0986587441917
"496","D9","Mexico","Cash",7.40692667891467
"497","D9","Russian Federation","Cash",39.3871447505856
"498","D9","Turkiye","Cash",1.14666000568173
"499","D9","United States","Cash",49.209337088633
"500","D9","South Africa","Cash",21.432974735335
"501","D9","Belgium","SP_current",62.2700240575819
"502","D9","Brazil","SP_current",1.40169795995012
"503","D9","China","SP_current",29.796166173289
"504","D9","Germany","SP_current",46.294229211754
"505","D9","Denmark","SP_current",91.109837438251
"506","D9","Spain","SP_current",27.5759997840612
"507","D9","Finland","SP_current",57.16543256293
"508","D9","France","SP_current",44.4321402938877
"509","D9","United Kingdom","SP_current",45.3202761317804
"510","D9","Indonesia","SP_current",10.8815676122721
"511","D9","India","SP_current",68.0606790016725
"512","D9","Ireland","SP_current",80.4461984078584
"513","D9","Italy","SP_current",72.0214084813693
"514","D9","Japan","SP_current",19.5948171103416
"515","D9","Luxembourg","SP_current",55.8978004115046
"516","D9","Mexico","SP_current",9.57115632533962
"517","D9","Russian Federation","SP_current",48.991665694211
"518","D9","Turkiye","SP_current",2.94969738014585
"519","D9","United States","SP_current",50.3159083897949
"520","D9","South Africa","SP_current",50.7619079951592
"521","D9","Belgium","SP_covid",100
"522","D9","Brazil","SP_covid",1.90630923171409
"523","D9","China","SP_covid",77.470030182044
"524","D9","Germany","SP_covid",100
"525","D9","Denmark","SP_covid",100
"526","D9","Spain","SP_covid",97.1754869895845
"527","D9","Finland","SP_covid",100
"528","D9","France","SP_covid",100
"529","D9","United Kingdom","SP_covid",100
"530","D9","Indonesia","SP_covid",39.1736423997157
"531","D9","India","SP_covid",100
"532","D9","Ireland","SP_covid",100
"533","D9","Italy","SP_covid",100
"534","D9","Japan","SP_covid",70.5413435852358
"535","D9","Luxembourg","SP_covid",100
"536","D9","Mexico","SP_covid",13.0167728788859
"537","D9","Russian Federation","SP_covid",100
"538","D9","Turkiye","SP_covid",7.66921315179205
"539","D9","United States","SP_covid",100
"540","D9","South Africa","SP_covid",97.769668821639
"541","D10","Belgium","Cash",0.583215472146692
"542","D10","Brazil","Cash",0.202439408825119
"543","D10","China","Cash",3.20676587234058
"544","D10","Germany","Cash",1.58066922751256
"545","D10","Denmark","Cash",3.1839488504849
"546","D10","Spain","Cash",4.08402578321806
"547","D10","Finland","Cash",2.74965700479566
"548","D10","France","Cash",16.884727487685
"549","D10","United Kingdom","Cash",8.74197720480874
"550","D10","Indonesia","Cash",0.854481355170511
"551","D10","India","Cash",8.32453465167639
"552","D10","Ireland","Cash",8.22566249325032
"553","D10","Italy","Cash",9.74870040042282
"554","D10","Japan","Cash",9.74164312815718
"555","D10","Luxembourg","Cash",17.6244946041465
"556","D10","Mexico","Cash",3.76027934320176
"557","D10","Russian Federation","Cash",33.0628002848246
"558","D10","Turkiye","Cash",0.76110520722719
"559","D10","United States","Cash",43.5828363118527
"560","D10","South Africa","Cash",12.1250478911621
"561","D10","Belgium","SP_current",50.5183457314181
"562","D10","Brazil","SP_current",0.301854559392564
"563","D10","China","SP_current",27.7395500456702
"564","D10","Germany","SP_current",47.3546461437876
"565","D10","Denmark","SP_current",79.0597219954763
"566","D10","Spain","SP_current",20.3546683310315
"567","D10","Finland","SP_current",50.9290458373839
"568","D10","France","SP_current",40.1793537177778
"569","D10","United Kingdom","SP_current",30.8901556576135
"570","D10","Indonesia","SP_current",4.54639096496317
"571","D10","India","SP_current",60.0708820398503
"572","D10","Ireland","SP_current",73.3870492990842
"573","D10","Italy","SP_current",67.0130629881586
"574","D10","Japan","SP_current",12.5454415170096
"575","D10","Luxembourg","SP_current",46.8615058402374
"576","D10","Mexico","SP_current",5.53810881927688
"577","D10","Russian Federation","SP_current",42.9081043513857
"578","D10","Turkiye","SP_current",1.37567983727322
"579","D10","United States","SP_current",44.8787734343475
"580","D10","South Africa","SP_current",37.8691882695124
"581","D10","Belgium","SP_covid",100
"582","D10","Brazil","SP_covid",0.410522254008322
"583","D10","China","SP_covid",72.1228320379787
"584","D10","Germany","SP_covid",100
"585","D10","Denmark","SP_covid",100
"586","D10","Spain","SP_covid",73.2402543641142
"587","D10","Finland","SP_covid",100
"588","D10","France","SP_covid",100
"589","D10","United Kingdom","SP_covid",100
"590","D10","Indonesia","SP_covid",16.3670069922618
"591","D10","India","SP_covid",100
"592","D10","Ireland","SP_covid",100
"593","D10","Italy","SP_covid",100
"594","D10","Japan","SP_covid",45.1635889031386
"595","D10","Luxembourg","SP_covid",100
"596","D10","Mexico","SP_covid",7.53182823112932
"597","D10","Russian Federation","SP_covid",100
"598","D10","Turkiye","SP_covid",3.57676729765938
"599","D10","United States","SP_covid",100
"600","D10","South Africa","SP_covid",96.23135079383
"601","D1","Other HICs","Cash",50.7325590829772
"602","D1","Other HICs","SP_covid",97.0346256448748
"603","D1","Other HICs","SP_current",68.7286587356102
"604","D1","Other LICs","Cash",10.4398685549931
"605","D1","Other LICs","SP_covid",43.0342145970924
"606","D1","Other LICs","SP_current",19.5798036309033
"607","D1","Other LMICs","Cash",27.3057942471194
"608","D1","Other LMICs","SP_covid",76.4376894201287
"609","D1","Other LMICs","SP_current",45.9083767288484
"610","D1","Other UMICs","Cash",51.2439493653575
"611","D1","Other UMICs","SP_covid",86.8808696110975
"612","D1","Other UMICs","SP_current",70.9353636701213
"613","D10","Other HICs","Cash",13.8735652037508
"614","D10","Other HICs","SP_covid",81.4136250844502
"615","D10","Other HICs","SP_current",40.5343097652104
"616","D10","Other LICs","Cash",5.83513684066818
"617","D10","Other LICs","SP_covid",24.6234602067094
"618","D10","Other LICs","SP_current",11.3760079473059
"619","D10","Other LMICs","Cash",8.92580167924809
"620","D10","Other LMICs","SP_covid",33.933128429276
"621","D10","Other LMICs","SP_current",19.5626383981046
"622","D10","Other UMICs","Cash",12.2082382224301
"623","D10","Other UMICs","SP_covid",45.4343984522374
"624","D10","Other UMICs","SP_current",22.6713862440078
"625","D2","Other HICs","Cash",43.3256961606718
"626","D2","Other HICs","SP_covid",97.0167622519205
"627","D2","Other HICs","SP_current",64.0933856154754
