"","Group","Country","Scenario","Benefit_cum","Pop_cum","BottomYS"
"87","Bin68","Other LMICs","SP_covid",0.605891486509919,0.505522699998568,0.00552269999856847
"88","Bin68","Other LMICs","SP_current",0.621495562683016,0.505522699998568,0.00552269999856847
"89","Bin83","Other UMICs","Cash",0.6124356857261,0.490335066510006,0.00966493348999448
"90","Bin83","Other UMICs","Explicit",0.297166485879155,0.490335066510006,0.00966493348999448
"91","Bin83","Other UMICs","SP_covid",0.553751009090122,0.490335066510006,0.00966493348999448
"92","Bin83","Other UMICs","SP_current",0.587562152857717,0.490335066510006,0.00966493348999448
"93","Bin99","Other HICs","Cash",0.604086749724412,0.50880004799706,0.00880004799705969
"94","Bin99","Other HICs","Explicit",0.369111876543201,0.50880004799706,0.00880004799705969
"95","Bin99","Other HICs","SP_covid",0.484803291369575,0.50880004799706,0.00880004799705969
"96","Bin99","Other HICs","SP_current",0.514067467737739,0.50880004799706,0.00880004799705969
