"","year","countryname","Group","TotalSub"
"298",2018,"Russian Federation","Fossil-based electricity",41240.7620272518
"299",2018,"Russian Federation","Natural gas",57511.6876331129
"300",2018,"Russian Federation","Petroleum",144631.086060532
"301",2018,"South Africa","Coal",39149.3700166592
"302",2018,"South Africa","Fossil-based electricity",3743.60502631078
"303",2018,"South Africa","Natural gas",0
"304",2018,"South Africa","Petroleum",6330.51071791331
"305",2018,"Spain","Coal",5210.68630649332
"306",2018,"Spain","Fossil-based electricity",252.463394784
"307",2018,"Spain","Natural gas",1912.55006105999
"308",2018,"Spain","Petroleum",12200.3691694291
"309",2018,"Turkiye","Coal",34600.497474795
"310",2018,"Turkiye","Fossil-based electricity",4102.36658159192
"311",2018,"Turkiye","Natural gas",24359.4463140785
"312",2018,"Turkiye","Petroleum",15421.0402096319
"313",2018,"United Kingdom","Coal",4900.581940365
"314",2018,"United Kingdom","Fossil-based electricity",0
"315",2018,"United Kingdom","Natural gas",12031.8679617858
"316",2018,"United Kingdom","Petroleum",26992.9441937689
"317",2018,"United States","Coal",151754.324589724
"318",2018,"United States","Fossil-based electricity",0
"319",2018,"United States","Natural gas",80836.4699832116
"320",2018,"United States","Petroleum",519316.816911815
"321",2019,"Belgium","Coal",935.92652940882
"322",2019,"Belgium","Fossil-based electricity",0
"323",2019,"Belgium","Natural gas",410.99335182568
"324",2019,"Belgium","Petroleum",3695.33255076367
"325",2019,"Brazil","Coal",5746.08568306848
"326",2019,"Brazil","Fossil-based electricity",0
"327",2019,"Brazil","Natural gas",440.274314336699
"328",2019,"Brazil","Petroleum",53196.5055064315
"329",2019,"China","Coal",1126629.80007953
"330",2019,"China","Fossil-based electricity",54781.1597726573
"331",2019,"China","Natural gas",21342.96462062
"332",2019,"China","Petroleum",368068.623084367
"333",2019,"Denmark","Coal",158.720733030426
"334",2019,"Denmark","Fossil-based electricity",1954.45928310179
"335",2019,"Denmark","Natural gas",148.76404756879
"336",2019,"Denmark","Petroleum",1250.99016064185
"337",2019,"Finland","Coal",629.476766366252
"338",2019,"Finland","Fossil-based electricity",1459.05403163878
"339",2019,"Finland","Natural gas",3.36637804163308
