"","Group","Country","Scenario","Benefit_cum","Pop_cum"
"380","Bin6","South Africa","Cash",0.00112152164557507,0.000701977891681439
"381","Bin6","Belgium","SP_current",0,0
"382","Bin6","Brazil","SP_current",0,0
"383","Bin6","China","SP_current",0,0
"384","Bin6","Germany","SP_current",0,0
"385","Bin6","Denmark","SP_current",0,0
"386","Bin6","Spain","SP_current",0,0
"387","Bin6","Finland","SP_current",0,0
"388","Bin6","France","SP_current",6.60971596097855e-05,4.43650581497687e-05
"389","Bin6","United Kingdom","SP_current",0,0
"390","Bin6","Indonesia","SP_current",2.42566700067103e-06,1.29491695707767e-06
"391","Bin6","India","SP_current",0.000140595732750466,0.00012895291839727
"392","Bin6","Ireland","SP_current",0,0
"393","Bin6","Italy","SP_current",0,0
"394","Bin6","Japan","SP_current",0,0
"395","Bin6","Luxembourg","SP_current",0,0
"396","Bin6","Mexico","SP_current",2.46255418968551e-05,1.10974828664424e-05
"397","Bin6","Russian Federation","SP_current",7.09487371152347e-05,5.26749960563577e-05
"398","Bin6","Turkiye","SP_current",0.000100021776971636,3.093168715148e-05
"399","Bin6","United States","SP_current",0,0
"400","Bin6","South Africa","SP_current",0.000895491323978613,0.000701977891681439
"401","Bin6","Belgium","SP_covid",0,0
"402","Bin6","Brazil","SP_covid",0,0
"403","Bin6","China","SP_covid",0,0
"404","Bin6","Germany","SP_covid",0,0
"405","Bin6","Denmark","SP_covid",0,0
"406","Bin6","Spain","SP_covid",0,0
"407","Bin6","Finland","SP_covid",0,0
"408","Bin6","France","SP_covid",4.43650581497687e-05,4.43650581497687e-05
"409","Bin6","United Kingdom","SP_covid",0,0
"410","Bin6","Indonesia","SP_covid",1.60578619324141e-06,1.29491695707767e-06
"411","Bin6","India","SP_covid",0.00012895291839727,0.00012895291839727
"412","Bin6","Ireland","SP_covid",0,0
"413","Bin6","Italy","SP_covid",0,0
"414","Bin6","Japan","SP_covid",0,0
"415","Bin6","Luxembourg","SP_covid",0,0
"416","Bin6","Mexico","SP_covid",2.46255427870106e-05,1.10974828664424e-05
"417","Bin6","Russian Federation","SP_covid",5.26749960563577e-05,5.26749960563577e-05
"418","Bin6","Turkiye","SP_covid",8.18671423008458e-05,3.093168715148e-05
"419","Bin6","United States","SP_covid",0,0
"420","Bin6","South Africa","SP_covid",0.000706708677650048,0.000701977891681439
"421","Bin7","Belgium","Cash",0,0
"422","Bin7","Brazil","Cash",0,0
"423","Bin7","China","Cash",0,0
"424","Bin7","Germany","Cash",0,0
"425","Bin7","Denmark","Cash",0,0
"426","Bin7","Spain","Cash",0,0
"427","Bin7","Finland","Cash",0,0
"428","Bin7","France","Cash",8.15650503899793e-05,4.70212697567399e-05
"429","Bin7","United Kingdom","Cash",0,0
"430","Bin7","Indonesia","Cash",6.2243928150887e-06,2.7287209063971e-06
