"","year","countryname","Group","TotalSub"
"400",2019,"United States","Petroleum",2471.8876813396
"401",2020,"Belgium","Coal",0
"402",2020,"Belgium","Fossil-based electricity",0
"403",2020,"Belgium","Natural gas",0
"404",2020,"Belgium","Petroleum",0
"405",2020,"Brazil","Coal",159.455112069397
"406",2020,"Brazil","Fossil-based electricity",0
"407",2020,"Brazil","Natural gas",224.023926535476
"408",2020,"Brazil","Petroleum",1698.00317855631
"409",2020,"China","Coal",812.18375671395
"410",2020,"China","Fossil-based electricity",64736.5063620895
"411",2020,"China","Natural gas",3720.80193749768
"412",2020,"China","Petroleum",7068.80983159857
"413",2020,"Denmark","Coal",0
"414",2020,"Denmark","Fossil-based electricity",2227.50148973824
"415",2020,"Denmark","Natural gas",212.917572064798
"416",2020,"Denmark","Petroleum",132.350729571264
"417",2020,"Finland","Coal",0
"418",2020,"Finland","Fossil-based electricity",1365.46692360471
"419",2020,"Finland","Natural gas",0
"420",2020,"Finland","Petroleum",0
"421",2020,"France","Coal",0
"422",2020,"France","Fossil-based electricity",0
"423",2020,"France","Natural gas",80.4521927570143
"424",2020,"France","Petroleum",49.9157331642792
"425",2020,"Germany","Coal",2541.28204664832
"426",2020,"Germany","Fossil-based electricity",0
"427",2020,"Germany","Natural gas",76.1008509406487
"428",2020,"Germany","Petroleum",54.8738558326146
"429",2020,"India","Coal",6.4960856245912
"430",2020,"India","Fossil-based electricity",21991.7031149702
"431",2020,"India","Natural gas",0
"432",2020,"India","Petroleum",844.531802501838
"433",2020,"Indonesia","Coal",5539.85600880536
"434",2020,"Indonesia","Fossil-based electricity",14899.1269544751
"435",2020,"Indonesia","Natural gas",1934.52979657815
"436",2020,"Indonesia","Petroleum",2872.19572528677
"437",2020,"Ireland","Coal",0
"438",2020,"Ireland","Fossil-based electricity",0
"439",2020,"Ireland","Natural gas",25.8913328328734
"440",2020,"Ireland","Petroleum",0
"441",2020,"Italy","Coal",0
"442",2020,"Italy","Fossil-based electricity",0
"443",2020,"Italy","Natural gas",11.1892455981862
"444",2020,"Italy","Petroleum",0
"445",2020,"Japan","Coal",0
"446",2020,"Japan","Fossil-based electricity",25654.5221790973
"447",2020,"Japan","Natural gas",325.311353951447
"448",2020,"Japan","Petroleum",58.63541491965
"449",2020,"Luxembourg","Coal",0
"450",2020,"Luxembourg","Fossil-based electricity",340.139302962816
"451",2020,"Luxembourg","Natural gas",0
"452",2020,"Luxembourg","Petroleum",0
"453",2020,"Mexico","Coal",0
"454",2020,"Mexico","Fossil-based electricity",3210.85389417859
"455",2020,"Mexico","Natural gas",2000.36174591823
"456",2020,"Mexico","Petroleum",3805.06968190493
"457",2020,"Russian Federation","Coal",38.8285952782941
"458",2020,"Russian Federation","Fossil-based electricity",28338.515283412
"459",2020,"Russian Federation","Natural gas",1261.68894486093
"460",2020,"Russian Federation","Petroleum",9873.35699135992
"461",2020,"South Africa","Coal",0
"462",2020,"South Africa","Fossil-based electricity",4459.48434745106
"463",2020,"South Africa","Natural gas",0
"464",2020,"South Africa","Petroleum",1.31000019559747
"465",2020,"Spain","Coal",0
"466",2020,"Spain","Fossil-based electricity",225.597133967474
"467",2020,"Spain","Natural gas",0
"468",2020,"Spain","Petroleum",0
"469",2020,"Turkiye","Coal",250.172840266538
"470",2020,"Turkiye","Fossil-based electricity",3591.32176685406
"471",2020,"Turkiye","Natural gas",1247.32419435558
"472",2020,"Turkiye","Petroleum",93.648788540296
"473",2020,"United Kingdom","Coal",0
"474",2020,"United Kingdom","Fossil-based electricity",0
"475",2020,"United Kingdom","Natural gas",683.267483283387
"476",2020,"United Kingdom","Petroleum",1338.3985135488
"477",2020,"United States","Coal",238.560375467014
"478",2020,"United States","Fossil-based electricity",0
"479",2020,"United States","Natural gas",883.634147249274
"480",2020,"United States","Petroleum",1443.27954344814
"481",2021,"Belgium","Coal",0
"482",2021,"Belgium","Fossil-based electricity",0
"483",2021,"Belgium","Natural gas",818.892938801487
"484",2021,"Belgium","Petroleum",0
"485",2021,"Brazil","Coal",97.639553462659
"486",2021,"Brazil","Fossil-based electricity",0
"487",2021,"Brazil","Natural gas",204.395191559326
"488",2021,"Brazil","Petroleum",1777.10518587817
"489",2021,"China","Coal",725.834358636292
"490",2021,"China","Fossil-based electricity",55504.9585128057
"491",2021,"China","Natural gas",43709.694273079
"492",2021,"China","Petroleum",7029.84528045455
"493",2021,"Denmark","Coal",0
"494",2021,"Denmark","Fossil-based electricity",2131.62360598963
"495",2021,"Denmark","Natural gas",125.339033760565
"496",2021,"Denmark","Petroleum",59.2545096482074
"497",2021,"Finland","Coal",0
"498",2021,"Finland","Fossil-based electricity",1374.60359927504
"499",2021,"Finland","Natural gas",0
"500",2021,"Finland","Petroleum",0
"501",2021,"France","Coal",0
"502",2021,"France","Fossil-based electricity",0
"503",2021,"France","Natural gas",75.7113828542426
"504",2021,"France","Petroleum",46.9743488012927
"505",2021,"Germany","Coal",492.224413436946
"506",2021,"Germany","Fossil-based electricity",0
"507",2021,"Germany","Natural gas",75.3857427316031
"508",2021,"Germany","Petroleum",54.3582159500791
"509",2021,"India","Coal",8.56276774519396
"510",2021,"India","Fossil-based electricity",23650.5995754785
"511",2021,"India","Natural gas",0
"512",2021,"India","Petroleum",1599.694085313
"513",2021,"Indonesia","Coal",5605.78968216455
"514",2021,"Indonesia","Fossil-based electricity",14991.366882387
"515",2021,"Indonesia","Natural gas",8499.70235899932
"516",2021,"Indonesia","Petroleum",12457.1623434088
"517",2021,"Ireland","Coal",0
"518",2021,"Ireland","Fossil-based electricity",0
"519",2021,"Ireland","Natural gas",122.72794129176
"520",2021,"Ireland","Petroleum",0
"521",2021,"Italy","Coal",0
"522",2021,"Italy","Fossil-based electricity",0
"523",2021,"Italy","Natural gas",10.9659085068996
"524",2021,"Italy","Petroleum",0
"525",2021,"Japan","Coal",0
"526",2021,"Japan","Fossil-based electricity",21964.7481550731
"527",2021,"Japan","Natural gas",11105.7286511929
"528",2021,"Japan","Petroleum",100.579270840145
"529",2021,"Luxembourg","Coal",0
"530",2021,"Luxembourg","Fossil-based electricity",369.267151019447
"531",2021,"Luxembourg","Natural gas",70.3502144315587
"532",2021,"Luxembourg","Petroleum",0
"533",2021,"Mexico","Coal",0
"534",2021,"Mexico","Fossil-based electricity",3353.29372114312
"535",2021,"Mexico","Natural gas",4278.98372578354
"536",2021,"Mexico","Petroleum",5473.06060122069
"537",2021,"Russian Federation","Coal",38.9106543792621
"538",2021,"Russian Federation","Fossil-based electricity",30033.5278020986
"539",2021,"Russian Federation","Natural gas",1334.79890704876
"540",2021,"Russian Federation","Petroleum",12930.7022187443
"541",2021,"South Africa","Coal",0
"542",2021,"South Africa","Fossil-based electricity",4378.60256412823
"543",2021,"South Africa","Natural gas",0
"544",2021,"South Africa","Petroleum",185.417709501568
"545",2021,"Spain","Coal",0
"546",2021,"Spain","Fossil-based electricity",236.93676962928
"547",2021,"Spain","Natural gas",1213.34543659542
"548",2021,"Spain","Petroleum",0
"549",2021,"Turkiye","Coal",193.074894708751
"550",2021,"Turkiye","Fossil-based electricity",3877.9940954379
"551",2021,"Turkiye","Natural gas",20655.2788524276
"552",2021,"Turkiye","Petroleum",809.070604027866
"553",2021,"United Kingdom","Coal",0
"554",2021,"United Kingdom","Fossil-based electricity",0
"555",2021,"United Kingdom","Natural gas",10867.2531009252
"556",2021,"United Kingdom","Petroleum",1649.52849769251
"557",2021,"United States","Coal",205.755507561739
"558",2021,"United States","Fossil-based electricity",0
"559",2021,"United States","Natural gas",919.54418049116
"560",2021,"United States","Petroleum",1496.82258389664
"561",2022,"Belgium","Coal",0
"562",2022,"Belgium","Fossil-based electricity",0
"563",2022,"Belgium","Natural gas",3716.75032522139
"564",2022,"Belgium","Petroleum",6.04616935744757
"565",2022,"Brazil","Coal",80.2135208789512
"566",2022,"Brazil","Fossil-based electricity",0
"567",2022,"Brazil","Natural gas",218.940996363575
"568",2022,"Brazil","Petroleum",1806.57951298767
"569",2022,"China","Coal",725.95985568528
"570",2022,"China","Fossil-based electricity",54067.7521584596
"571",2022,"China","Natural gas",182639.304177925
"572",2022,"China","Petroleum",7429.40114620825
"573",2022,"Denmark","Coal",0
"574",2022,"Denmark","Fossil-based electricity",1961.04434111214
"575",2022,"Denmark","Natural gas",230.925322677839
"576",2022,"Denmark","Petroleum",61.9876195000217
"577",2022,"Finland","Coal",0
"578",2022,"Finland","Fossil-based electricity",1337.75229803789
"579",2022,"Finland","Natural gas",0.70762084537048
"580",2022,"Finland","Petroleum",0
"581",2022,"France","Coal",0
"582",2022,"France","Fossil-based electricity",0
"583",2022,"France","Natural gas",16234.8680588966
"584",2022,"France","Petroleum",46.6987735874234
"585",2022,"Germany","Coal",491.604592248972
"586",2022,"Germany","Fossil-based electricity",0
"587",2022,"Germany","Natural gas",38860.2099424108
"588",2022,"Germany","Petroleum",54.1747890237239
"589",2022,"India","Coal",8.5079410600895
"590",2022,"India","Fossil-based electricity",20623.4933463238
"591",2022,"India","Natural gas",0
"592",2022,"India","Petroleum",8385.24449680949
"593",2022,"Indonesia","Coal",5628.39763203804
"594",2022,"Indonesia","Fossil-based electricity",14590.3037073084
"595",2022,"Indonesia","Natural gas",23837.0085617233
